max_distance_distributions,max_distance_sketches
0.9891,0.9891
0.9813,0.9813
0.9696,0.9696
0.9571,0.9571
0.0424,0.0424
0.0798,0.0798
0.1012,0.1012
0.1245,0.1245
0.6369,0.6369
0.5914,0.5914
0.5543,0.5543
0.5287,0.5287
0.514,0.514
0.4958,0.4958
0.9323,0.9323
0.9076,0.9076
0.8807,0.8807
0.8512,0.8512
0.8229,0.8229
0.7977,0.7977
0.9951,0.9951
0.9891,0.9891
0.9814,0.9814
0.9724,0.9724
0.9581,0.9581
0.9435,0.9435
0.0408,0.0408
0.0637,0.0637
0.0875,0.0875
0.6048,0.6048
0.5578,0.5578
0.5179,0.5179
0.491,0.491
0.4759,0.4759
0.4559,0.4559
0.9052,0.9052
0.8772,0.8772
0.8491,0.8491
0.8197,0.8197
0.7884,0.7884
0.7636,0.7636
0.9883,0.9883
0.9791,0.9791
0.9668,0.9668
0.9559,0.9559
0.9374,0.9374
0.9227,0.9227
0.0324,0.0324
0.0625,0.0625
0.587,0.587
0.5398,0.5398
0.5009,0.5009
0.4735,0.4735
0.4568,0.4568
0.4344,0.4344
0.8836,0.8836
0.8545,0.8545
0.8244,0.8244
0.7951,0.7951
0.7655,0.7655
0.7399,0.7399
0.9801,0.9801
0.9685,0.9685
0.9534,0.9534
0.9415,0.9415
0.9195,0.9195
0.9055,0.9055
0.0345,0.0345
0.5659,0.5659
0.5189,0.5189
0.4789,0.4789
0.4512,0.4512
0.4287,0.4287
0.4062,0.4062
0.857,0.857
0.8272,0.8272
0.7981,0.7981
0.7681,0.7681
0.7368,0.7368
0.7117,0.7117
0.9711,0.9711
0.9593,0.9593
0.9424,0.9424
0.9291,0.9291
0.9064,0.9064
0.8909,0.8909
0.5424,0.5424
0.4965,0.4965
0.4566,0.4566
0.4295,0.4295
0.4056,0.4056
0.3824,0.3824
0.829,0.829
0.7979,0.7979
0.7688,0.7688
0.7379,0.7379
0.7072,0.7072
0.6817,0.6817
0.9582,0.9582
0.9431,0.9431
0.923,0.923
0.9073,0.9073
0.8846,0.8846
0.8687,0.8687
0.0486,0.0486
0.087,0.087
0.1181,0.1181
0.1423,0.1423
0.1644,0.1644
0.6824,0.6824
0.6464,0.6464
0.6122,0.6122
0.577,0.577
0.5608,0.5608
0.5442,0.5442
0.9548,0.9548
0.9348,0.9348
0.905,0.905
0.8848,0.8848
0.8578,0.8578
0.8372,0.8372
0.0406,0.0406
0.078,0.078
0.1026,0.1026
0.1264,0.1264
0.6416,0.6416
0.6046,0.6046
0.5712,0.5712
0.535,0.535
0.519,0.519
0.5041,0.5041
0.9323,0.9323
0.9077,0.9077
0.8753,0.8753
0.8521,0.8521
0.826,0.826
0.8068,0.8068
0.0408,0.0408
0.0648,0.0648
0.0887,0.0887
0.6063,0.6063
0.5723,0.5723
0.5367,0.5367
0.5001,0.5001
0.4831,0.4831
0.4675,0.4675
0.9108,0.9108
0.8819,0.8819
0.8459,0.8459
0.8219,0.8219
0.7952,0.7952
0.7749,0.7749
0.0306,0.0306
0.0614,0.0614
0.5738,0.5738
0.5395,0.5395
0.5029,0.5029
0.4636,0.4636
0.4469,0.4469
0.4288,0.4288
0.883,0.883
0.8539,0.8539
0.817,0.817
0.7932,0.7932
0.7666,0.7666
0.7456,0.7456
0.0314,0.0314
0.5549,0.5549
0.5212,0.5212
0.4831,0.4831
0.4439,0.4439
0.4246,0.4246
0.4053,0.4053
0.8569,0.8569
0.8254,0.8254
0.7893,0.7893
0.7648,0.7648
0.7384,0.7384
0.717,0.717
0.5407,0.5407
0.5068,0.5068
0.4692,0.4692
0.4295,0.4295
0.4075,0.4075
0.3889,0.3889
0.8338,0.8338
0.8019,0.8019
0.764,0.764
0.7402,0.7402
0.7136,0.7136
0.6938,0.6938
0.0412,0.0412
0.0817,0.0817
0.1122,0.1122
0.1382,0.1382
0.1668,0.1668
0.6857,0.6857
0.6388,0.6388
0.598,0.598
0.5701,0.5701
0.5626,0.5626
0.544,0.544
0.044,0.044
0.0785,0.0785
0.1035,0.1035
0.1307,0.1307
0.6475,0.6475
0.6008,0.6008
0.5597,0.5597
0.532,0.532
0.5231,0.5231
0.5038,0.5038
0.0416,0.0416
0.0657,0.0657
0.091,0.091
0.604,0.604
0.5574,0.5574
0.5172,0.5172
0.4909,0.4909
0.4837,0.4837
0.4655,0.4655
0.037,0.037
0.0679,0.0679
0.5899,0.5899
0.5451,0.5451
0.5043,0.5043
0.4703,0.4703
0.4616,0.4616
0.4409,0.4409
0.0322,0.0322
0.5613,0.5613
0.5181,0.5181
0.4758,0.4758
0.4422,0.4422
0.4317,0.4317
0.4109,0.4109
0.5392,0.5392
0.4981,0.4981
0.4547,0.4547
0.4217,0.4217
0.4087,0.4087
0.3855,0.3855
0.0476,0.0476
0.0895,0.0895
0.1206,0.1206
0.1435,0.1435
0.166,0.166
0.0453,0.0453
0.0769,0.0769
0.1018,0.1018
0.1247,0.1247
0.035,0.035
0.0628,0.0628
0.0851,0.0851
0.0368,0.0368
0.0576,0.0576
0.0251,0.0251
